R_Nodes	Original_Nodes
1	Anaeramoeba-lanta-160522
2	BM-newprots-may21.anaeromoeba
3	SC-newprots-may21.anaeromoeba
4	BS-newprots-may21.anaeromoeba
5	Tetratrichomonas-gallinarum.5730.aa
6	Pentatrichomonas-hominis.5728.aa
7	Trichomonas-vaginalis-GenBank.PRJNA16084
8	Trichomonas-vaginalis-RefSeq.G3
9	Dientamoeba-fragilis.43352.aa
10	Histomonas-meleagridis.PRJNA594289
11	Histomonas-meleagridis.135588.aa
12	Tritrichomonas-foetus.PRJNA345179
13	EP00708-Paratrimastix-pyriformis
14	EP00771-Trimastix-marina
15	EP00770-Monocercomonoides-exilis
16	EP00792-Barthelona-sp-PAP020
17	EP00769-Ergobibamus-cyprinoides
18	Carpediemonas-membranifera.PRJNA719540
19	EP00764-Aduncisulcus-paluster
20	EP00766-Chilomastix-caulleryi
21	EP00767-Chilomastix-cuspidata
22	Kipferlia-bialata.PRJDB5223
23	EP00768-Dysnectes-brevis
24	Spironucleus-salmonicida.PRJNA60811
25	EP00703-Trepomonas-sp-PC1
26	Giardia-muris.PRJNA524057
27	GiardiaDB-GintestinalisEP15
28	GiardiaDB-GintestinalisADH
29	EP00701-Giardia-intestinalis
30	Giardia-intestinalis.PRJNA1439
31	GiardiaDB-GintestinalisBGS
32	GiardiaDB-GintestinalisBGS-B
33	62
34	53
35	49
36	45
37	32
38	52
39	48
40	43
41	44
42	51
43	47
44	42
45	61
46	38
47	36
48	60
49	59
50	33
51	58
52	57
53	37
54	56
55	55
56	54
57	35
58	50
59	46
60	41
61	39
62	34
63	40
